snippet_id,position,argument_type
74,anti_simplification,legal_certainty
19,pro_simplification,regulatory_coherence
20,pro_deregulation,competitiveness
9,pro_deregulation,competitiveness
24,pro_simplification,technical_feasibility
73b,pro_simplification,technical_feasibility
26,pro_simplification,technical_feasibility
57,pro_simplification,regulatory_coherence
42,anti_simplification,improve_governance
23,anti_deregulation,rights_protection
0,pro_deregulation,industry_self_regulation
13,anti_simplification,rights_protection
39,pro_simplification,technical_feasibility
4,pro_simplification,technical_feasibility
31,anti_deregulation,rights_protection
18b,pro_simplification,regulatory_coherence
11a,pro_deregulation,regulatory_coherence
46,pro_simplification,regulatory_coherence
48a,pro_deregulation,legal_certainty
61a,pro_simplification,technical_feasibility
